time,target rpm,actual rpm,duty (%)
45:41.0,300,739,51
45:42.1,300,200,52
45:43.3,300,218,53
45:44.4,300,229,54
45:45.5,300,250,54
45:46.6,300,255,54
45:47.8,300,257,54
45:48.9,300,248,55
45:50.4,500,451,62
45:51.5,500,497,62
45:52.6,500,488,62
45:53.7,500,477,62
45:54.8,500,480,62
45:56.0,500,473,62
45:57.1,500,486,62
45:58.2,500,486,63
45:59.4,500,480,63
46:00.5,500,466,63
46:01.6,1500,1889,91
46:02.7,1500,1800,88
46:03.8,1500,1664,85
46:05.0,1500,1671,83
46:06.1,1500,1509,83
46:07.2,1500,1490,83
46:08.4,1500,1498,82
46:09.5,1500,1584,82
46:10.6,1500,1505,82
46:11.7,1500,1542,81
46:12.9,1500,1474,82
46:14.0,1500,1479,82
46:16.1,0,0,0
